2-MethoxyBA,2-BromoBA,2-HydroxyBA,2-EthoxyBA,Control
842,635,443,924,253
902,297,269,129,112
1200,697,862,534,684
1200,1200,613,547,698
33,270,139,361,933
1200,759,241,370,48
582,929,227,1158,587
1200,335,287,218,159
357,472,142,958,53
431,1200,447,404,218
1200,749,497,415,756
686,459,178,747,275
1200,1200,829,1200,152
264,494,307,823,79
423,639,822,1058,198
862,438,1200,181,610
1200,808,337,1200,162
538,478,247,859,1162
296,1200,872,1200,83
78,361,988,576,96
