2-MethoxyBA,2-BromoBA,2-HydroxyBA,2-EthoxyBA,Control
82,400,162,81,43
420,99,201,382,25
189,59,164,543,28
235,42,195,144,24
519,187,175,98,67
60,46,68,216,112
88,100,62,82,23
58,102,19,236,63
1200,243,117,187,16
26,39,528,1200,87
539,153,74,361,186
131,8,85,77,51
175,41,14,17,51
52,14,10,59,35
93,82,43,65,41
34,214,94,1200,28
254,37,68,34,73
29,33,44,51,19
67,24,180,77,24
183,65,52,67,130
